# v  min_costs  min_comp_costs  heft_makespan  cpop_makespan  heft_slr  cpop_slr  speedup_heft  speedup_cpop
20  125  363  380  384  3.04  3.07  0.96  0.95
40  199  646  606  699  3.05  3.51  1.07  0.92
60  128  684  404  395  3.16  3.09  1.69  1.73
100  189  1476  676  801  3.58  4.24  2.18  1.84
80  72  1001  434  478  6.03  6.64  2.31  2.09
80  114  1286  766  885  6.72  7.76  1.68  1.45
60  145  1246  627  592  4.32  4.08  1.99  2.1
40  70  195  213  157  3.04  2.24  0.92  1.24
100  49  754  306  422  6.24  8.61  2.46  1.79
80  229  1255  874  784  3.82  3.42  1.44  1.6
100  274  1935  1166  1187  4.26  4.33  1.66  1.63
20  56  211  238  268  4.25  4.79  0.89  0.79
40  117  492  345  342  2.95  2.92  1.43  1.44
40  66  359  340  267  5.15  4.05  1.06  1.34
20  55  209  197  177  3.58  3.22  1.06  1.18
60  290  1029  767  980  2.64  3.38  1.34  1.05
80  75  839  377  405  5.03  5.4  2.23  2.07
40  172  694  362  357  2.1  2.08  1.92  1.94
60  77  940  680  697  8.83  9.05  1.38  1.35
60  98  800  535  731  5.46  7.46  1.5  1.09
100  207  1504  937  933  4.53  4.51  1.61  1.61
60  129  1005  633  621  4.91  4.81  1.59  1.62
80  164  1510  1225  1456  7.47  8.88  1.23  1.04
100  109  1152  698  716  6.4  6.57  1.65  1.61
80  214  1427  1477  1439  6.9  6.72  0.97  0.99
40  75  303  326  213  4.35  2.84  0.93  1.42
100  84  771  550  461  6.55  5.49  1.4  1.67
20  65  304  350  345  5.38  5.31  0.87  0.88
100  80  1684  1037  879  12.96  10.99  1.62  1.92
40  80  398  396  384  4.95  4.8  1.01  1.04
100  142  1539  1049  980  7.39  6.9  1.47  1.57
60  113  1017  921  790  8.15  6.99  1.1  1.29
20  90  339  431  656  4.79  7.29  0.79  0.52
100  144  1413  946  926  6.57  6.43  1.49  1.53
20  100  233  234  203  2.34  2.03  1.0  1.15
80  196  1719  1037  1194  5.29  6.09  1.66  1.44
60  167  548  473  508  2.83  3.04  1.16  1.08
# beta = 0.1, 0.25, 0.5, 0.75, 1.0
20  59  159  75  85  1.27  1.44  2.12  1.87
20  84  284  280  262  3.33  3.12  1.01  1.08
60  34  375  275  246  8.09  7.24  1.36  1.52
60  321  1042  461  466  1.44  1.45  2.26  2.24
60  159  1135  1112  1043  6.99  6.56  1.02  1.09
80  162  1350  601  494  3.71  3.05  2.25  2.73
60  44  361  143  143  3.25  3.25  2.52  2.52
60  107  901  672  587  6.28  5.49  1.34  1.53
100  128  925  628  692  4.91  5.41  1.47  1.34
100  291  1641  751  671  2.58  2.31  2.19  2.45
80  51  485  174  198  3.41  3.88  2.79  2.45
60  166  876  836  882  5.04  5.31  1.05  0.99
60  326  989  527  674  1.62  2.07  1.88  1.47
40  160  770  490  456  3.06  2.85  1.57  1.69
20  40  124  59  55  1.48  1.38  2.1  2.25
60  159  677  270  325  1.7  2.04  2.51  2.08
100  170  1858  1221  1313  7.18  7.72  1.52  1.42
80  198  1510  1077  1014  5.44  5.12  1.4  1.49
100  394  1571  546  739  1.39  1.88  2.88  2.13
80  65  601  450  282  6.92  4.34  1.34  2.13
20  170  456  247  222  1.45  1.31  1.85  2.05
80  202  1468  521  595  2.58  2.95  2.82  2.47
20  63  150  153  168  2.43  2.67  0.98  0.89
100  218  1564  952  807  4.37  3.7  1.64  1.94
40  79  268  120  134  1.52  1.7  2.23  2.0
80  103  693  260  285  2.52  2.77  2.67  2.43
60  77  475  182  205  2.36  2.66  2.61  2.32
80  180  820  294  353  1.63  1.96  2.79  2.32
40  181  616  517  611  2.86  3.38  1.19  1.01
20  75  234  244  266  3.25  3.55  0.96  0.88
20  171  330  204  207  1.19  1.21  1.62  1.59
20  81  397  407  756  5.02  9.33  0.98  0.53
20  82  233  127  110  1.55  1.34  1.83  2.12
80  43  486  343  340  7.98  7.91  1.42  1.43
20  39  118  83  61  2.13  1.56  1.42  1.93
100  212  1741  1262  989  5.95  4.67  1.38  1.76
100  62  686  301  296  4.85  4.77  2.28  2.32
40  87  493  183  233  2.1  2.68  2.69  2.12
20  88  204  111  100  1.26  1.14  1.84  2.04
80  167  1255  478  555  2.86  3.32  2.63  2.26
40  161  715  317  358  1.97  2.22  2.26  2.0
60  85  670  254  258  2.99  3.04  2.64  2.6
80  112  629  637  494  5.69  4.41  0.99  1.27
100  254  1582  546  664  2.15  2.61  2.9  2.38
40  111  409  159  222  1.43  2.0  2.57  1.84
40  123  427  185  181  1.5  1.47  2.31  2.36
40  67  347  147  162  2.19  2.42  2.36  2.14
20  43  205  208  242  4.84  5.63  0.99  0.85
80  151  1087  379  413  2.51  2.74  2.87  2.63
60  218  871  376  452  1.72  2.07  2.32  1.93
100  102  1071  357  411  3.5  4.03  3.0  2.61
80  122  945  327  371  2.68  3.04  2.89  2.55
100  493  2034  821  1086  1.67  2.2  2.48  1.87
20  85  167  113  89  1.33  1.05  1.48  1.88
40  40  223  82  91  2.05  2.27  2.72  2.45
60  284  1087  417  576  1.47  2.03  2.61  1.89
100  97  743  379  432  3.91  4.45  1.96  1.72
100  138  1361  500  557  3.62  4.04  2.72  2.44
100  119  1167  678  634  5.7  5.33  1.72  1.84
40  99  332  127  153  1.28  1.55  2.61  2.17
60  177  1072  438  474  2.47  2.68  2.45  2.26
20  88  255  117  131  1.33  1.49  2.18  1.95
80  365  1739  1098  845  3.01  2.32  1.58  2.06
100  146  1634  1001  1008  6.86  6.9  1.63  1.62
80  198  1296  464  574  2.34  2.9  2.79  2.26
20  26  142  92  104  3.54  4.0  1.54  1.37
20  39  114  60  61  1.54  1.56  1.9  1.87
60  168  679  283  396  1.68  2.36  2.4  1.71
40  126  545  218  292  1.73  2.32  2.5  1.87
40  211  720  305  454  1.45  2.15  2.36  1.59
20  34  110  50  49  1.47  1.44  2.2  2.24
80  166  1444  505  571  3.04  3.44  2.86  2.53
100  269  1837  1400  989  5.2  3.68  1.31  1.86
100  194  1180  903  629  4.65  3.24  1.31  1.88
40  170  579  284  330  1.67  1.94  2.04  1.75
20  42  147  62  60  1.48  1.43  2.37  2.45
60  192  603  234  345  1.22  1.8  2.58  1.75
80  123  996  330  422  2.68  3.43  3.02  2.36
20  68  301  132  140  1.94  2.06  2.28  2.15
20  83  289  137  121  1.65  1.46  2.11  2.39
100  186  830  519  499  2.79  2.68  1.6  1.66
80  79  717  245  298  3.1  3.77  2.93  2.41
80  62  564  179  205  2.89  3.31  3.15  2.75
20  18  84  98  130  5.44  7.22  0.86  0.65
80  144  1099  362  510  2.51  3.54  3.04  2.15
20  73  221  96  124  1.32  1.7  2.3  1.78
40  154  468  558  390  3.62  2.53  0.84  1.2
40  89  367  320  317  3.6  3.56  1.15  1.16
40  120  606  251  288  2.09  2.4  2.41  2.1
80  92  705  573  476  6.23  5.17  1.23  1.48
100  208  1596  491  699  2.36  3.36  3.25  2.28
20  77  237  232  288  3.01  3.74  1.02  0.82
80  178  844  712  843  4.0  4.74  1.19  1.0
60  170  765  307  361  1.81  2.12  2.49  2.12
20  69  248  126  119  1.83  1.72  1.97  2.08
100  86  1128  366  422  4.26  4.91  3.08  2.67
40  110  518  171  230  1.55  2.09  3.03  2.25
80  251  1449  1105  1349  4.4  5.37  1.31  1.07
100  176  1144  595  629  3.38  3.57  1.92  1.82
60  108  839  252  333  2.33  3.08  3.33  2.52
100  118  1347  411  543  3.48  4.6  3.28  2.48
